Post_File,Title,Primary_Keyword,Secondary_Keywords,Target_Tier,Commercial_Intent,Local_Scope,Priority,GSC_Submit,Expected_Ranking_Week,Estimated_Monthly_Visitors
blog-we-buy-houses-baltimore-fast.html,"We Buy Houses Baltimore Fast","we buy houses baltimore","cash buyers baltimore, buy houses baltimore, sell house fast baltimore",1 - Money,Very High,Baltimore Metro,P0 - URGENT,YES,2-3,50-80
blog-cash-offer-baltimore-maryland.html,"Cash Offer Baltimore Maryland","cash home buyers baltimore","cash offer baltimore, sell for cash baltimore, quick cash baltimore homes",1 - Money,Very High,Baltimore Metro,P0 - URGENT,YES,2-3,40-60
blog-foreclosure-md.html,"Foreclosure in Maryland","foreclosure maryland","stop foreclosure maryland, foreclosure help maryland, facing foreclosure maryland",1 - Money,Very High,Maryland Statewide,P0 - URGENT,YES,2-3,30-50
blog-foreclosure-prevention.html,"Foreclosure Prevention Guide","stop foreclosure maryland","foreclosure prevention maryland, avoid foreclosure, foreclosure process maryland",2 - Situation,High,Maryland Statewide,P0 - URGENT,YES,2-4,25-40
blog-seller-pain-points-real-estate-baltimore.html,"7 Biggest Seller Pain Points","foreclosure baltimore inherited property divorce","sell house owe more than worth, liens on house, tax lien property maryland",2 - Situation,High,Baltimore Metro,P1 - HIGH,YES,2-4,20-35
blog-inherited-probate-md.html,"Inherited Property & Probate Maryland","inherit house maryland sell inherited house","inherited house maryland, inherited property quickly, probate property maryland",1 - Money,Very High,Maryland Statewide,P1 - HIGH,YES,2-4,25-40
blog-divorce-md.html,"Selling House During Divorce Maryland","sell house during divorce maryland","divorce settlement maryland, quick home sale divorce, life event sales",2 - Situation,High,Maryland Statewide,P1 - HIGH,YES,3-5,15-25
blog-sell-my-house-fast-baltimore.html,"Sell My House Fast Baltimore","sell house fast baltimore","sell my house baltimore, quick home sale baltimore, sell fast baltimore",4 - City,High,Baltimore Metro,P1 - HIGH,YES,2-3,40-60
blog-sell-my-house-fast-alexandria.html,"Sell My House Fast Alexandria","sell house fast alexandria virginia","alexandria virginia cash buyers, quick sale alexandria, sell my house fast alexandria",4 - City,High,Alexandria VA,P1 - HIGH,YES,2-3,30-50
blog-sell-my-house-fast-arlington.html,"Sell My House Fast Arlington","sell house fast arlington virginia","arlington virginia homes, arlington cash buyers, quick cash arlington",4 - City,High,Arlington VA,P1 - HIGH,YES,2-3,30-50
blog-why-your-fsbo-listing-isnt-selling-baltimore.html,"Why Your FSBO Listing Isn't Selling Baltimore","fsbo selling guide","why fsbo isnt selling, for sale by owner, selling house tips maryland",2 - Situation,Medium,Baltimore Metro,P1 - HIGH,YES,3-5,15-25
blog-liens-violations-dc.html,"Liens & Violations Washington DC","sell house liens dc code violations","tax lien property dc, liens on house, code violations washington dc",2 - Situation,High,Washington DC,P1 - HIGH,YES,2-4,20-30
blog-fire-damage-maryland.html,"Fire Damage House Maryland","fire damage house maryland","water damage maryland, damaged property maryland, mold damage maryland",2 - Situation,High,Maryland Statewide,P2 - MEDIUM,YES,3-5,15-25
blog-hoarder-house-maryland.html,"Selling Hoarder House Maryland","hoarder house maryland","house full of junk maryland, ugly house maryland, damaged property",2 - Situation,High,Maryland Statewide,P2 - MEDIUM,YES,3-5,10-20
blog-underwater-mortgage.html,"Underwater Mortgage Maryland","underwater mortgage maryland","owe more than house worth, upside down mortgage, behind on mortgage",2 - Situation,Very High,Maryland Statewide,P2 - MEDIUM,YES,3-5,20-35
blog-foreclosure-va.html,"Foreclosure in Virginia","foreclosure virginia","foreclosure prevention virginia, stop foreclosure virginia, foreclosure help virginia",1 - Money,Very High,Virginia Statewide,P2 - MEDIUM,YES,2-4,30-50
blog-foreclosure-dc.html,"Foreclosure in Washington DC","foreclosure dc","foreclosure prevention dc, facing foreclosure dc, foreclosure help dc",1 - Money,Very High,Washington DC,P2 - MEDIUM,YES,2-4,25-40
blog-we-buy-houses-dc-fast.html,"We Buy Houses Washington DC Fast","we buy houses washington dc","cash home buyers dc, sell house fast dc, buy houses dc",1 - Money,Very High,Washington DC,P2 - MEDIUM,YES,2-3,40-60
blog-we-buy-houses-alexandria.html,"We Buy Houses Alexandria Virginia","we buy houses alexandria virginia","cash buyers alexandria, sell house fast alexandria, alexandria home buyers",1 - Money,Very High,Alexandria VA,P2 - MEDIUM,YES,2-3,30-50
blog-inherited-property-dc.html,"Inherited Property Washington DC","inherited property dc","sell inherited house dc, inherited home dc, probate property dc",1 - Money,High,Washington DC,P2 - MEDIUM,YES,2-4,20-35
blog-sell-my-house-fast-columbia.html,"Sell My House Fast Columbia Maryland","sell house fast columbia maryland","columbia maryland home buyers, columbia maryland foreclosure, quick cash columbia",4 - City,Medium,Columbia MD,P2 - MEDIUM,YES,3-4,15-25
blog-sell-my-house-fast-silver-spring.html,"Sell My House Fast Silver Spring Maryland","sell house fast silver spring","silver spring maryland buyers, quick cash silver spring, cash buyers silver spring",4 - City,Medium,Silver Spring MD,P2 - MEDIUM,YES,3-4,15-25
blog-sell-my-house-fast-rockville.html,"Sell My House Fast Rockville Maryland","sell house fast rockville","rockville maryland home buyers, quick cash rockville, cash offer rockville",4 - City,Medium,Rockville MD,P2 - MEDIUM,YES,3-4,15-25
blog-sell-my-house-fast-frederick.html,"Sell My House Fast Frederick Maryland","sell house fast frederick","frederick maryland homes, quick cash frederick, cash buyers frederick",4 - City,Medium,Frederick MD,P2 - MEDIUM,YES,3-4,15-25
blog-sell-my-house-fast-annapolis.html,"Sell My House Fast Annapolis Maryland","sell house fast annapolis","annapolis maryland homes, quick cash annapolis, cash buyers annapolis",4 - City,Medium,Annapolis MD,P2 - MEDIUM,YES,3-4,15-25
blog-sell-my-house-fast-bowie.html,"Sell My House Fast Bowie Maryland","sell house fast bowie","bowie maryland buyers, quick cash bowie, cash offer bowie",4 - City,Medium,Bowie MD,P2 - MEDIUM,YES,3-4,12-20
blog-fsbo-frequently-asked-questions-baltimore.html,"FSBO Frequently Asked Questions Baltimore","fsbo selling guide baltimore","for sale by owner baltimore, selling house tips baltimore, fsbo tips",2 - Situation,Medium,Baltimore Metro,P2 - MEDIUM,YES,3-5,12-20
blog-divorced-need-sell-house-fast-baltimore.html,"Divorced Need to Sell House Fast","sell house during divorce","divorce settlement, quick home sale divorce, selling house after divorce",2 - Situation,High,Baltimore Metro,P3 - ONGOING,YES,4-6,10-20
...REMAINING 64 POSTS (city guides + situation posts),various city guides and situation pages,various long-tail combinations,"various city + service combinations, situation-specific long-tail",3/4/5 - Mixed,Medium-High,Various Cities & States,P3 - ONGOING,YES,3-6,5-20 each
